ID	PSET	VSET	PRONOUN	VERB	GENDER		ANSWER
						di²da²hịɂ²li²³da³²sdi⁴ɂi, ju²nạ²da²hịɂ²li²³da³²sdi⁴ɂi	courthouse
						di²da²hli²lo¹sdi⁴sgi	1. camera  2. photographer
						di²da²hli²lo¹stạ²nv⁴ɂi	1. picture  2. photograph
						di²da³hna¹wị²da, ju²da³hna¹wị²da	cross
						di²da²hne²se⁴sgi	conjurer
						di²da²hnv²wi⁴sgi	medicine man
						di²da²hye²³hlọ²hi	surgeon
						di²da³ne²lv⁴ɂi	at home
						di³danh²tọ²sdi	false teeth, dentures
						di²da²ni²³soh³di⁴ɂi, ju²nạ²da²ni²³soh³di⁴ɂi	cemetery
						di²da²ni²³yi⁴sgi	policeman
						di²da²sda¹yv²³hṿ²sgi	cook
						di²da²sdo²ye⁴sgi	barber
						di²da²sdu¹di⁴ɂi, ju²nạ²da²sdu¹diɂi	jail
						di²da²tị²hni²do⁴hi	leader
						di²da²tol²sdi⁴sgi	lender
						Di²da²wo⁴sgi	Baptist
						di²de²³hlo²gwa¹sgi	student
						di²de²hyo²³hṿ²sgi	teacher
						di³dla	toward
						di²dlo²hị²sdi⁴i	meeting place
						di²dlv²kwị³sdoh²di	excuse
						dị²gạ²la¹wị²sdi⁴ɂi, ju²ni²la¹wị²sdi⁴ɂi	church
						dị²gạ²lo²gi⁴sgi	farmer
						dị²gạ²lv¹nv²hi	dumplings
						dị²gạ²no²³jahl²di	announcement
						dị²gan²so¹di⁴ɂi	pantry
						dị²gạ²nu²lạ²ji	his ribs
						dị²ga¹tdi⁴ɂi	oven
						dị²ga²tị³sdi	gig
						dị²go²hwe²li	1. papers  2. book
						dị²go²hwe²³lo¹di	pencil
						dị¹guhl¹di²³sgi	mud dauber
						dị²gu²kdi⁴sgi	judge
						di³hị²hi	one that kills
						di²hlị²no²heh²di⁴ɂi, ju²nạ²hlị²noh²he²di⁴ɂi	telephone
						dihl²tạ²de⁴gi	jumper
						di²hnạ²wo	clothing, clothes
						di¹hne²³hị²hi	wrestler
						di²hne¹sge⁴sgi	carpenter
						di²hyv²³gi¹sdi	spurs
						dị²kạ²lv²³gv⁴ɂi	east
						dị²kạ²no²gi⁴sdi	1. song book  2. musical instrument
						di²kạ²no²wạ²di²do⁴hi	angel
						di²kạ²no²wạ²dv³sdi	law
						dị²kdlạ²di¹sgi	1. fireman  2. firetruck
						dị²kdlvh³di	sharpener
						di²ke⁴wi	blind
						di²ktị²nv⁴tdi	eyeglasses
						dị³ktoh²di	binoculars
						di²kwạ²nạ²yo²³sdi	playing cards
						di²kwạ²yo⁴di	pepper
						dil²sdoyh²di	scissors
						di¹nehl³doh²di	toy
						di²ni²da³hnạ²wi	1. enemies  2. his enemy
						di¹se²³hị³sdi⁴i	dresser
						di²sẹ³sdi	numbers
						di²su²³hwị³sdi	paint
						di²tạ²le²³sdi	drill
						di²te²³sdi	iron
						di²tị²yo²³hị²hi	lawyer
						dla²me²ha	bat
						dla²nu³si	leech
						dlayh¹ga	bluejay
						Dlayh¹gv⁴ɂi	Jay
						dlo²ge⁴si	1. garden, field  2. meadow, pasture
						dlu¹dlu	purple martin
						dlv	approximately
						dlv, ị²lvh²dlv⁴ɂi	somewhere
						Do²³dạ³gwa¹sgv⁴ɂi	Sunday
						Do²³dạ³gwi²de⁴na	Saturday
						Do²³dạ³gwọ²hnvɂi	Monday
						do²hị²yu	really, very
						do²sa	mosquito
						do²sv²³dạɂ³li	ant
						do²³yi	outside
						do²yu⁴	really, very
						du¹da²tị²hnạ²ɂv⁴ɂi	his family
						du¹dlo²sga	he's confronted with it
						du¹do²ɂa	he is called, he is named
						du¹do³²kdị³ha	he's staggering
						du¹gwe²no³tị²sga	he's getting a rash
						duhl¹ga	he has horns
						du¹hyv²³sdoy³²sga	he's sneezing
						du¹ksdị²ha	he's vomiting
						du²ktị²nv²ta	he's wearing glasses
						du¹la³²su²hla	he's wearing shoes
						Du²li¹sdi	September
						du¹lị²ye³²su²la	he's wearing gloves
						du¹li²³yo³ha	he's wearing socks
						du¹lv²³hwị³sda¹nẹ²ha	he's working
						Du¹ninh²di	October
						du³sdạ²no²hyvh²ga	he's making footsteps
						du¹yạ²we³ga	he's tired
						du¹yu²kdv⁴ɂi	the truth
						e²do³ha	1. he's walking around., 2. he's here
						e³ga	he's going
						e⁴gwa	huge, large
						e²gwo²³ni	sea
						e²³ha	he lives
						e⁴hi	resident, dweller
						e²hi²ya⁴ɂi	indigenous
						e²hlạ²we⁴ɂi	quiet
						e²lạ²di	1. down, 2. on foot
						e¹lị³a	he thinks so
						e²li⁴gwu	enough, it's enough
						e²li⁴gwu	it's possible
						e⁴li¹sdi	it seems that
						ga²chị²no⁴sda	straight.
						ga²chị²no²sị³ha	he's straightening it
						ga²³da	1. soil  2. land
						ga¹dạɂ³di	flag
						ga²³dạ³gu¹gu	crock
						ga²dạ²gwạ³la	clay
						ga²da²ha⁴ɂi	dirty
						ga²dạ²lu²³gị³ɂa	he's plowing it
						ga²dạ²lu³go¹di	plow
						ga²dey²³sdị²ha	he's turning it
						ga¹di²ge⁴ni	his heel
						ga²di³gwạ²lv²dey²³sdị²ha	he's spinning it
						ga³dlo²hị³ha	he's strapping it
						gạ²do³²ga	he's standing
						ga²do⁴hi	on the ground
						gạ²do¹hv³	why
						ga²do²³li³²ga	he's pitying him
						gạ²do² u⁴sdi	which
						ga⁴du	bread
						gạ²du³	on top
						ga²du³hv⁴ɂi	town
						ga³du²hṿ³sga	he's baking it
						ga¹du²li⁴da	wet
						gạ²du⁴si	hill
						ga³du² u²gạ²na⁴sda	cake
						gạ²dv³ɂṿ²sga	he's hanging up a flexible object
						ga²³gạ³ma	cucumber
						ga²gạ²we²³sdi	paddle, oar
						ga²gạ²we²³sga	he's rowing, paddling
						ga²ge⁴da	heavy
						ga³go²	who
						ga³gwạ²tdi	wheel
						ga²gwạ²yo²hị³ha	he's pecking it
						ga²hạ²tdi	wedge
						gahl²dị³ha	he's putting it into a container
						gahl³doh²di	container
						gahl²gwo²³gi	seven
						gahl²gwo²gi²ne⁴ɂi	seventh
						ga³hlị²da	arrow
						gạ²hlị³ha	he's sleeping
						ga³hli²sị³ha	he's gathering it
						gahl²jạɂ²di	bow
						gahl²jo²³de	house
						gahl²jo³tdoh²di	roofing
						gahl²jo²tv⁴ɂi	tent
						ga³hlụ²sga	he's piling it up
						gạ²hlv³ɂị²ha	he's tying him, it up
						gạ²hlṿ³sga	he's putting it in a hole or a container
						gạ²hlv²sga	he's sleepy, he's going to sleep
						gạ²hne³ga	he's taking a flexible object somewhere by hand
						gạ²hnẹ³ha	he's holding a flexible object
						gạ²hni²³do³²ha	he's handling a flexible object
						ga²hyạɂ³dlv⁴ɂi	collar
						ga²hyạ²hu²lo	saddle
						ga²hye³ɂa	he's eating a flexible object
						ga²hye⁴sdi	something flexible to eat
						ga²jạ²gạ²lị³ha	he's ripping it
						ga²jạ²lị²go²³sga	he's scratching him, it
						ga²jạ²nu⁴li	fast
						ga²jạ²yo²hị³ha	1. he's pricking him, it  2. he's giving him an injection
						ga³jv²wa³²sdị²ha	he's wringing it out
						ga²jvy³sga	he's stinging it
						ga²kạ²hi²yạ³ɂa	he's leaving a living thing behind
						ga²ka³²nẹ²ha	he's giving him a living thing
						ga²kwe²nv²sga	he's wrapping him, it
						gạ²lạ³dị³ɂa	he's putting a long object in a container
						gạ²lạ²nv²dv⁴ɂi	street
						gạɂ³le¹ga	he's climbing it
						gạɂ²le¹gi	blacksnake
						gạɂ²le⁴ni	his ear
						gạ²le³yv²sga	he's burning
						gạ²le²yv²³sga	a long object is falling from an upright position
						gạɂ³li²do³ha	he's climbing around
						gạ²li²³ha	he's taking a long object out of a container
						gạ²lị²jo³hị²da	fat
						gạ²li³ɂv²hnị³ha	he's spanking him
						gạ²lo²gi³ɂa	he's hoeing it
						gạ²lo²go¹di	hoe
						gạ²lo¹gwe	gun
						gạ²lo²hị²sdi⁴ɂi	doorway, door
						Gạɂ²lo²hni	August
						gạ²lo²na³²sdị²ha	1. He's bluffing him. 2. he's deceiving him 3. he's tricking him
						gạ²lo²³nẹ³ɂa	he's oiling it.
						gạ²lonh³dị²ha	he's making him fall from an elevated psition
						gạ²lo²nu²he²³ha	he's cheating
						gạ²lo³²sga	he's falling from an elevated position
						gạɂ³luh²ga	he's arriving
						gạ²lu²³lo³²ga	1. it's lacking 2. it's missing
						gạ²luy¹sdi	axe
						gạ²luy¹sdi	bed bug
						gạ²luy³²sga	he's chopping it
						gạ²lv³doh²di	container for something flexible
						gạ²lv³hnị²ha	he's beating him up
						gạ²lv²³lạ³di	heaven
						gạ²lv³lạ²di	high
						gạ²lv²³lạ³di²dla	above
						gạ²lv²³lạ³dị²ge⁴ɂi	higher
						gạ²lv²lo⁴ɂi	Sky
						gạ²lv³sga	he's putting a flexible object in a hole or in a container
						gạ²nạ²de³ga	he's selling it
						gạ²na¹hlạ³ɂi	livestock
						gạ²na³²hlṿ²sga	he's hiring him
						ga¹na⁴li	lazy
						ga¹nạɂ³li	castrated horse, dog sheep, etc.
						gạ²nawh³²tị³ha	he's finding a flexible object.
						gạ³nạ²ye¹gi	dangerous
						gạ²ne³ɂa	1. he's getting a flexible object  2. he's picking up a flexible object
						gạ²ne²³dli³yṿ²ɂa	he's changing it
						gạ²ne¹ga	skin
						gạ²ne³gạ²lị³ha	he's peeling, skinning him, it
						gạ²ne²gi³ɂa	1. he's getting some liquid  2. he's picking up some liquid
						gạ²ne²³gu³di²ɂa	he's bewitching him
						ga²nẹ³ha	he's holding the long object in his hand
						gạ²ne²hi²ya³ɂa	he's leaving some liquid
						gạ²ne²hne³ha	he's giving him some liquid
						gạ²ne²hwah²tị³ha	he's finding some liquid
						gạ²ne²hwi²dị³ha	he's taking some liquid somewhere
						gạ²ne²ji⁴ɂi	his chest
						gạ²ne⁴li	married person
						gạ²ne²³sdạ³lạ²dị²ɂa	it's freezing
						gạ²ne²soy³²sga	it's hailing
						ganh²doh³gi	saw
						ganh²doh³gv⁴ɂi	his tooth
						ganh²ga	he's lying down
						ganh¹go³ɂi	his tongue
						ganh²gwạ³ɂe²ha	he's agitating liquid
						ganh²je³ga	he's taking a liquid somewhere by hand
						ganh²jẹ³ha	he's holding some liquid
						ganh²ji²³do³²ha	he's handling some liquid
						ganh²tạ²ni²do⁴hi	salesman
						gạɂ³ni	1. bullet  2. lead
						gạ²ni³dạɂ²dv⁴i	his tail
						ga²ni²³do³²ha	he's handling a long object
						gạ²nị²gwa³²tị²ha	he hates him
						gạ²ni²hlạ³dị³ɂa	he's setting up a bed
						gạ²ni²hlạ²di³²sdi	bedstead
						gạ²ni²hli	bed
						gạ²ni²³lạ³dị²ɂa	1. he's pleading 2. he's urging
						gạɂ³ni²sị³ha	he's burying him
						gạɂ³ni²yị³ha	1. he's catching him 2. he's arresting him 3. he's playing catcher
						gạɂ²ni²³yi⁴sgi	catcher
						gạ²no²hạ²li²³do³²ha	he's hunting
						gạ²no²hạ²li²do⁴hi	hunter
						gạ²no²hi²³li	he, it's flying
						gạ²no²hu²³gị³ɂa	it's flooding
						gạ²no²hyv²hlị²sdị³ha	he's causing it to sound
						gạ²no¹ji	leather
						gạ²no²sgi³ɂa	he's stealing it
						gạ²no²sgi⁴da	stolen
						gạ²no²sgi⁴sgi	thief
						gạ²no²³yv³²ga	1. he, it's sinking  2. he, it is being buried
						gan²sạ²ne³ɂa	he's pulling him, it
						gan²sda	stick
						gan²si²³ne³²ga	1. he's dragging him, it 2. he's towing it
						gạ²nu²go³ga	he's exiting
						gạ²nu²go³gv⁴ɂi	spring
						gạ²nu²gọ²ɂị²sdoh³di⁴ɂ	exit
						gạ²nu²³lv	grass, weed
						gạ²nu²³lv a³gal¹sdi	lawn mower
						gạ²nu³te²yọ³ha	he's twisting him, it
						gạ²nv²³dị³ɂa	he's missing him, it
						gạ²nv²di⁴ɂi	his breast
						gạ²nv³ga	he's falling from an upright  position
						gạ²nv²gạ²lị³ha	he's cleaning him, it
						gạ²nv²gwạ²lo³ɂa	he's hammering it
						gạ²nv²gwạ²lo⁴sdi	hammer
						gạ²nv²gwa²lo¹sgi⁴ɂi	a blacksmith shop
						gạ²nv²hi⁴da	long
						gạ²nv³hlo²hị³ha	1. he's tying up a leg 2. he's applying a break
						gạ²nv²hnv⁴ɂi	route
						gạ²nv³ji²do³ha	he's tossing about
						gạ²nv³nẹ²ha	he's giving him a flexible object
						gạ²nv²no²wa	pipe
						gạ²nv¹sge	leg
						gạ²nv¹sge⁴ni	his leg
						gạ²nv²wo⁴ɂi	his shoulder
						ga²sạ²do³²sga	he's pushing him, it
						ga²sạ²gwạ²le²³hị³ha	he's rolling him, it
						ga²³sạ³gwạ²lv⁴ɂi	round
						ga¹sạ²le²³ni	coat
						ga¹sạ²na²li	roof
						ga²sgị²lo	chair, table
						ga²sgị²lo al²sdayv¹hv⁴ɂsga	dining table
						ga²sgị²lo di²hlih²ge⁴sgi	rocking chair
						ga²sgị²lv⁴ɂi	on a chair, table
						ga³sgwọ²ɂi²ha	it's dripping
						ga³soh²gwạ²ti	humpbacked
						ga²sọ²hi⁴ɂi	his back
						ga²svnh²ga	he's whistling
						ga³sv²tṿ³sga	he's piling it up
						gạ²ta	it's hanging
						gạ²tdi	button
						ga²te³sạɂ²di	cooking pan
						ga²tị³ha	he's stabbing him, it
						ga²³ti³yo⁴ɂi	stompgrounds
						ga¹toh²ga	tail
						gạ²tṿ³sga	he's hanging it up
						gạ²we³hlị²ha	he's joking, he's teasing
						gạ²we³so²lv²³sdị³ha	he's resting him
						gạ²wo³ɂa	1. he's bathing him 2. he's baptizing him
						gạ²wo²³hị³li²yṿ²ɂa	he's replying
						gạ²wonh³dị³ha	he's lecturing him
						gạ²wo¹ni²³da	gossip
						gạ²wo³nị²ha	he's speaking
						gaw²sv¹gi	cantaloupe, muskmelon
						ga³ye²sạɂdv⁴ɂi	his finger
						ga²yew²sga	he's sewing it
						ga²yew²sgi⁴ɂi	sewing machine
						gayh²go⁴gi	liar
						gayh²go¹gi	lie
						ga¹yo⁴hli	small quantity
						ga³yu²la	already
						ge²hlọ³ha	he's feeding him, it
						ge²hlụ²hṿ³sga	he, it's howling, screaming, yelling, etc.
						ge³hyah²tạ²hi	wild
						gẹ²ɂi	downstream
						ge²jị²go²li²³ye³²di⁴ɂi	clinic
						ge²li²³si³ne²ha	he's leading it by a leash
						ge²li⁴stgi	pie
						ge²ti²lo⁴sdi	crowbar
						ge³tṿ²sdi	post
						gi²³ga	blood
						gi²³ga de²kạ³yv²³sgwọ³ɂị²ha	he has a nosebleed
						gi²³gạ³ge, gi²³ge	red
						giɂ²hla	loose hair
						gi²hli	dog
						gi²hli dị²gạɂ²le²³nv³hi²da	hounddog
						Gị²li²si	English
						go²ge⁴yi	spring
						go²gi	summer
						go²hi⁴da	a long time
						go²hi²³ne³²ga	he's leading him by the hand
						go²hiyh²da³²nẹ²ha	1. he's agreeing with him 2. he's vouching for him
						go²hiyh²di	belief, faith
						gohl²ga	he's recognizing him
						gohl²ga	he understands it
						gohl⁴gi	his acqaintance
						go²hlv²hnv⁴ɂi	butter
						go²hlṿ³sga	he's getting full
						go¹hlv²sga	he's making it
						go²hu⁴sdi, go⁴sdi	something
						go²hwe²li	1. paper 2. letter
						go²hwe²³li³ɂa	he's writing it
						Gọ²ɂi⁴	Greasy
						gọ²ɂi	1. grease 2. oil
						gọ²ɂi²ha⁴ɂi	greasy
						go³²jạ²ne³ɂa	he's pulling a trigger
						go¹jạ²ne¹sdi⁴ɂi	trigger
						go⁴ksdi	cigarette
						go²ksga	he's smoking it
						go⁴la	winter
						go²³le²³hi	pneumonia
						go²³sda¹yi	sharp
						go²sdi¹yu⁴hli	dull
						go²sdv³ni²ha	he's batting it
						go²sdv³ni¹sdi	bat
						go¹sẹ³ha	he's saying to him
						go²tị²sga	it's swelling
						go²³tṿ³sga	he's building a fire
						gu²dạ²le³ɂa	1. he's unhitching him, it 2. he's unhooking it 3. he's unplugging it
						gu²dạ²lv³²sga	1. he's hitching him, it up 2. he's hooking it up 3. he's plugging it in
						gu¹gu	bottle
						gu¹gu	tick
						Gu¹gu⁴ɂi	Bartlesville
						gu²hạ²hlṿ³sga	he's putting a handle on a tool
						gu²hgwe	quail
						gu²hi²lo³ɂa	he's washing it
						gu²hi²³sdị³ha	he's accusing him
						gu¹hlv³di	lid
						gu³hlṿ²sga	1. he's covering it 2. he's putting a lid on it
						gu²hṿ³sga	he's putting it in water
						gu²le	acorn
						gu²le di²sgo²³hnị²hi	mourning dove
						Gu²so⁴ɂi	Muskogee
						gu²te³ɂa	he's picking him, it up
						gu²tị³ha	it's snowing
						gv²gi¹sdi	watermelon
						gv²gu²³sdị³ha	he's sifting it
						gv²gu²³sga	it's leaking
						gvh⁴di	with, by means of
						gv²he	bobcat
						gv²hna	he is alive
						gṿ³hnạ²gal²sdi	active
						gv²³hnạ³ge⁴ɂi	black
						gv²hnị³ha	1. he's hitting, striking him, it 2. he's knocking
						gv²hno⁴da	alive
						gv²hnv⁴ɂi	his life
						gv²hwạ²no⁴sda	whole
						gv²jạ²hlạ³nv⁴hi	fried
						gv²jạ²hlṿ³sga	he's frying it
						gv³na	turkey
						gv¹nawh²dị³ha	he's melting it
						gv²nạ²wo²sga	it's melting
						gv²no²sạ³sdi	broom
						gv²no²sa³sga	he's sweeping it
						gv¹sgạ²hlṿ³sga	he's hiding it
						gv²sgạ²lạ³dị³ɂa	he's hiding a long object
						gv²sgwạ²lo³ɂa	he's cracking it
						gv²tṿ³sga	he's putting it into a fire
						gv²wa²tu³hwị²da	all around
						ha²dlv	where
						hạ²wi⁴ni	under
						hạ²wi³ni di³dla	underneath
						hạ²wi²ya	meat
						he¹sdi, hle¹sdi	don't
						hị²ɂa	this, these
						hị²la³²yv⁴ɂi	when
						hị²sgi	five
						hla, tla	no, not
						hlạ³ go²hu⁴sdi	nothing
						hlạ³ ị²lvh³dlv, hlạ³ dlv⁴	nowhere
						hlạ³ ị²lv²³hị³yu	never
						hlạ³ kị²lo	no one
						hlạ²wo¹tu	mud
						hle⁴ga	for a while
						hle²ki³	soon
						hle¹sdi	don't
						hlgv⁴ɂi	tree
						hlv²dạ²ji, tlv²dạ²ji	lion
						họ²wa	okay
						hyah²te²³na	board
						hyah²to⁴hli	narrow
						hyeh²gạ²hli	quilt
						i²ga	day
						i²³ga³da	some
						i²³gạɂ³luh²ga	he's returning
						i²³gạ³nv²hi⁴da	in length
						i²³gạ²ti	height
						i²³go³hi⁴da	length of time
						i²³go³hi⁴da	until
						i²³gv³nạ²de⁴na	area
						ị²gv²³yi	earlier than
						ị²gv²yi⁴ɂi	first
						ị²jẹ³ɂị²yu⁴sdi	green
						i²³ju³la	both
						ị³kị²da	size
						ị²lv²³hị³yu⁴ɂi	ever
						ị²lv⁴sgi	few
						i⁴na	far
						i²³nạ³da	snake
						i²³nạ³ge⁴ɂi	forest, wilderness
						i²nv²hi	too far
						i²sa	flour
						ị³sih²tạ²di¹sdi	inch
						i²ya	pumpkin
						ị²yạ³danh³teh³di	cent
						ị²yạ³gạ²yv⁴li	thousand
						ị²yạ³tạ²hwo¹stạ²nv⁴ɂi	minute
						ị²yu³da⁴li	1. apart  2. often
						ị²yu³nạ²do²³dạ²gwa¹sdi	weeks
						ị²yu⁴sdi	like
						ị²yụ³wa²hnị²lv⁴ɂi	o'clock
						ị²yụ³wa⁴kdi, yụ³wa⁴kdi	time, times
						Jạ²lạ²gi, Ạ²jạ²lạ²gi	Cherokee
						Jạ²lạ²gụ³we²ti⁴ɂi	North Carolina
						jị²gị²ɂlị²li	chickadee
						ji²lạ²li	chewing gum
						Ji²³sa	Jesus
						ji²sdu	rabbit
						ji³sdv²na	crayfish
						ji³sdv²na ạ²da²jvy⁴sgi	scorpion
						ji³sgwa	bird
						ji²³sgwo³²gwo	robin
						jị²ta²³ga	chicken
						jị²ta²³ga ạ²chv²ya	rooster
						ji²³yu	boat, airplane
						ji²³yu di²hlạ²wi²tdi⁴sgi	pilot
						jo²gi	upstream
						jọ²ɂi	three
						jọ²ɂi²ne⁴ɂi	third
						Jọ²ɂi²nẹ⁴ I²ga	Wednesday
						jo²la	tobacco
						jo²³lạ²ni	window
						ju²dạ²le²hnv⁴da	different, various
						ju²da²³tị²hnạ²ɂi	chairman, president
						ju²³ga³nạ²wv⁴ɂi	south
						ju²ganh²de²³na	cabbage
						ju²gạ²no¹ji	centipede
						ju²gv²³wahl²di	price
						ju²gv²wahl²di	wealth
						ju²³hlị³ɂị²lv³stạ²nv⁴ɂi	in the past, formerly
						ju²hnạ²jo⁴sdi	sour
						ju²hnạ²wo	his clothes
						ju²³hyv³dlv⁴ɂi	north
						ju²jạ²yo⁴sdi	barbed, thorny
						ju²kạ²nv¹sde²³na	bull
						ju²ksv⁴sdi	smoky
						ju²ksv²³sdi	smoke
						ju²ktạ²ji³sdạ²hli	copperhead
						ju²la¹sgi	alligator
						ju²la¹sgi	1. cast iron,  2. a sort of cast iron pot
						ju²lị²chv²³ya¹sdi	brave
						ju²lị²ɂe⁴na	deaf
						ju²li¹sdạ²na²li	catfish
						ju²lohl⁴di	striped
						jul²sị²hnv⁴da	nightly
						ju²lv²³hwị³sda¹ne⁴hi	worker
						ju²nạ²da²sdu¹di⁴ɂi, di²da²sdu¹di⁴ɂi	jail
						ju²nạ²de²hloh²gwa¹sdi⁴ɂi	school
						ju¹nal¹sdayh¹di⁴ɂi	restaurant, cafe
						Junh²gi²lo⁴sdi	Friday
						ju²ni²dlv¹gi⁴ɂi	hospital
						ju²ni²sv²sdi⁴ɂi	hotel, motel
						ju²sv²³hị²da	days
						jụ²we³nv¹sv⁴ɂi	his home
						jv²sgi²no	hell
						Ka²gạɂ²li	February
						ka²³hwi	coffee
						kạ²li⁴ɂi	full
						kạ²lo¹gwe²³kdi	locust tree
						Kạ²lo¹gwe²³kdi⁴ɂi	Locust Grove
						kal²se²³ji	1. sugar  2. candy
						kạɂ²lv⁴ɂi	month
						kạ²ma²ma	butterfly
						kạ²ma²ma	elephant
						kạ²nạ²ji¹sde²³ji	wasp
						kạ²nạ²lu²sga	he's ascending an incline
						kạ²nạ²lu²sgv⁴ɂi	uphill
						kạ²na²³lṿ³ɂị²sdi	anger
						kạ²na²³lv³sdị²ha	he's making him angry
						kạ²nạɂ²ne²³sgi	spider
						kạ²na³²sạɂ²dv⁴ɂi	his toe
						kạ²na³²sde²dlị³ha	he's rooting it out
						kạ²na¹sdehl²³di	pick
						kạ²nạ²wo³²ga	he's cold
						kạ²ne³ga	1. he's speaking  2. he's answering
						kạ²ne³gwạ²dị³ha	he's prying it
						kạ²neh²gwo³ɂa	he's accumulating it, he's increasing it
						kạ²neh²gwo³ga	it's accumulating, it's increasing
						kạ²ne³ɂị²sdị³ha	he's mentioning it
						kạ²ne¹sạ³ɂi	box
						kạ²ne²³sda³²hlạ²hv⁴ɂi	nest
						kạ²ne¹sga	hay
						kạ²nị²ge⁴ni	his knee
						kạ²nị²hlṿ³sga	he's collecting from him
						kạ²nị²kwsa	rat
						kạ²no²ge	1. arm, 2. wing.
						kạ²no²ge⁴ni	1. his arm, 2. its wing
						kạ²no²he²³da	1. news, 2. gospel
						kạ²no²hẹ³ha	he's telling it
						kạ²no²³hi³yạ²ɂha	he's omitting him, it
						Kạ²no²³hi³ye⁴gi	Passover supper
						kạ²no³yẹ²ha	he's fanning him, it
						kan²sdạ²ji	sassafras
						kạ²nu¹gạ²hli	blackberries
						kạ²nu²na	bullfrog
						kạ²nu³yo²lạ³dị³ɂa	it's misting
						kạ²nv³so²lv²³sdị³ha	he's straining it
						kạ²nv³su²lv⁴ɂi	room
						kạ²nv²³wị³ɂa	1. he's curing, doctoring him, 2. he's soldering, welding it
						Kạ²wo²hni	April
						ka²wo²lạ²de³ɂa	he's breathing
						kạ²wo²³nu	duck
						kạ²yv²so⁴li	his nose
						kdị³ha	he's using it
						kdlạ²dị³ɂha	he's putting out a fire, a light
						kdlị³ha	he's sharpening it
						kẹ²lạ³di³do¹ha	He's mingling with a group
						ke⁴li	member
						ke²³mị³li	camel
						kị²hlṿ³sga	he's linking it
						kị²la	later
						kị²la⁴	1. early in, 2. not long ago
						kị²lạ³gwu	pretty soon
						kị²lạ³gwu ị²yv⁴da	immediately
						kị²lo⁴	someone
						kị²yu³²ga	chipmunk
						kjạ²gṿ³ɂṿ²sga	he's shaking a flexible object
						Ko²de⁴sgi, Ạ²ko²de⁴sgi	Spade
						ko³ga	crow
						ko¹hi⁴	a while ago
						ko¹hi³²yv⁴ɂi	later, after a while
						ko²³la	bone
						ko¹sdu	1. ashes, 2. dust
						ko¹sdu²ha⁴ɂi	dusty
						kto³sạ²dị³ɂa	he's hanging up a long object
						kụ²wa	mulberries
						kụ²wạ³ju³ne²ga	sycamore
						kụ²wa²ya	huckleberries
						Kụ²wa²yo⁴ɂi	Pryor
						Kụ²ye²gwo²³na	July
						kv²³hli	raccoon
						kv²hnị³ge¹sv⁴ɂi	in view
						kwạ²na	peach
						kwan²dạ³yo²³ha	cobra
						kwạ²nun³sdị²ɂi	plum
						na	here
						na	that, those
						na¹hị²yu⁴ɂi	then
						nạ²ɂv	near, close
						ne²³wạ²da	hominy
						ni	look!
						nị²ga⁴da	all
						nị²gạ²wẹ²ɂa	1. he's saying it  2. it's barking, meowing, whinnying, cooing, etc.
						nị²go²³hi³lv⁴ɂi, nị²go²³lv	always
						nị²gvnh³de³ɂa	he's taking it off
						nị²gvnh³dị³ha	he's putting it on
						nị²hi	you
						nị²kv⁴ɂi	all over, everywhere
						no²³gwu	now
						no²³gwụ³le	and then
						noh²ji	pine
						nọ²kwsi	star
						no²ya, no²yi	sand
						nu²³dạ³le⁴ɂi	different
						nu²danh³tv⁴na	insane, without a mind
						nu¹hli²³sdv⁴ɂi	as quickly as possible
						nu⁴la	hurry
						nu²³la	come here
						nu²³na	potato
						Nu²³ya³gi	New York
						nv²da	sun, moon
						Nv²dạ²de²³gwa	November
						nv²da di²sẹ³sdi	calendar
						nv²³da³gi	Texas
						nv²do⁴hi	on the moon, sun
						nvh²gi	four
						nvh²gi²ne⁴ɂi	fourth
						Nvh²gi²ne⁴ Iɂ²ga	Thursday
						nv²no²³hi	road
						nvwh²to²hi²yạ²da	peace
						nv²wo³²ti	medicine
						nv¹ya	rock
						nv¹ya ạ²tv²da¹nv⁴ɂi	brick
						nv¹yo⁴hi	rocky
						o¹dạ²lv⁴ɂi	mountain
						O²gạ²la²ho²³ma	Oklahoma
						o²gạ²na	groundhog
						o²hla	soap
						o²hni	after
						o²hni di³dla	behind, towards the back.
						o⁴sda	1. adj. good., 2. adv. Well
						o²si³	fairly well
						o³si	stove
						o³si ạ²da²sdayh¹di⁴ɂi	cook stove, range
						o³si ạ²ga²nạ²wo²hị²sdi⁴ɂ	heating stove
						o²si²³gwu	all right, just fine
						o²sị³yo	hello
						sạ²dv³di	trap
						sa¹gwu⁴	one
						sạ²ko²³nị³ge⁴ɂi	blue
						sạ²li	persimmon
						sạ²lị³gu³gi	snapping turtle
						sạ²lo²³li	squirrel
						sa²sa	goose
						sda⁴ya, sda⁴yi	hard, difficult
						sde²yị³da	rope
						sdi²³kị²da	a little
						sdu¹di	door, gate
						sdụ²ɂi³sdi	key
						Se²³dạ³ni	Satan
						se²³di	walnut
						se²³lạ³gwo²ya	green snake
						se²³lu	corn
						se²³lu anh²tạ²sgi¹sgi	popcorn
						se²³lu i²sa	corn meal
						se²³lu u²da	corncob
						sgị³dv⁴, v¹sgị³dv⁴	yes, that's it
						sgo²³hi	ten
						sgo²hi²ne⁴ɂi	tenth
						sgo²³hị³tsgwa	one hundred
						sgwa¹hle⁴sdi, sgwa¹tle⁴sdi	ball
