ᎫᎴ|gu2le
ᎤᎵᏌᎳᏙᏗ|ul2sa.2la.2do1di
ᎤᏪᏴ|u1we3yv4?i
ᏅᏃᎯ|nv2no23hi
ᏕᎦᏅᏅ|de23ga.3nv2hnv4?i
ᏅᏯ|nv1ya
ᎠᏜ|a2dla
ᎤᎪᏒ|u1go2sv23?i
ᎤᏩᏅᏨ|uwanvɂtsv²³ɂi
ᎤᏩᏅᎬ|u1wa2nv3gv23?i
ᎦᏯᎱᎶ|ga2hya.2hu2lo
ᎤᏃᏴᏨ|u1no23yv32jv23?i
ᎠᎢᏒ|a3?i2sv23?i
ᎠᎢᏒᎢ|a3?i2sv23?i
ᎦᏅᏔᏂᏙᎯ|ganh2ta.2ni2do4hi
ᏎᎼᏂ|semoni
ᏃᏯᎭ|noyạha
ᏚᏃᎩᏒ|du1hno2gi3sv23?i
ᎤᏍᎪᎬ|u1sgo3gv23?i
ᎠᏗᎭ|a1di.2ha
ᎤᏁᎸᏒ|ụnelvsv
ᎤᏍᏆᏗᏍᏗ|u2sgwa.2di1sdi
ᏔᎵᏁ|talịne
ᏗᎪᏪᎵᏍᎩ|dịgohwelisgi
ᎤᎪᎲᎢ|u1go2hv23?i
ᎠᎦᏯᎷᏗ|a.2ga2ya.2lu3di
ᎤᏓᏅᏖᏗ|u2danh2teh2di
ᏚᎵᏍᏗ|Du2li1sdi
ᎦᎵᏉᎩ|gahl2gwo23gi
ᎦᎵᏆᏚ|gahlgwạdu
ᎦᎵᏉᎩᏁ|gahl2gwo2gi2ne4?i
ᎦᎵᏆᏍᎪᎯ|gahlkwasgohi
ᎤᏓᏩᏗᏍᎬ|u1da23wa.3di32sgv4i
ᏚᏓᏩᏗᏍᎬ|du1da23wa.3di32sgv4?i
ᎤᏓᏴᎳᏛ|u1da.2yv2la.2tv23?i
ᎤᏯᏍᎦ|uhyasga
ᏒᏓᎷᎩ|sṿdạlugi
ᎠᎳᏑᎶ|a.2la1su23lo
ᏗᎳᏑᎶ|di2la1su23lo
ᎦᏅᏬᎢ|ga.2nv2wo4?i
ᏗᏍᏆᎨᏂ|di2sgwa.2ge4ni
ᎠᏍᎦᏂ|a.2sga.2hni
ᎧᏃᎩᏍᏗ|kạnogisdi
ᎤᏬᎳ|uwohla
ᎠᏂᏅᎢ|a1ni?3nv23?i
ᏑᏓᎵ|su23da.3li
ᏑᏓᎵᏁ|su2da.2li2ne4?i
ᏑᏓᎵᏍᎪᎯ|sudahlsgohi
ᏂᎬᎢ|ni.2kv4?i
ᏩᎾ|wana
ᏗᏓᎾᏏᏁᎩ|dịdansịnegi
ᎪᏯᏛ|gohyạdṿɂi
ᎦᎸᏙᎵ|gạlvdohli
ᎤᏢᏓᎸᏓ|u2dlv2da.2lv4da
ᏚᏴᏍᏙᏴ|du1hyv23sdo32hyv23?i
ᎤᎾᏥ|unatsi
ᎤᏭᏔᏅ|u1wu2ta.2hnv23?i
ᎣᎳ|ohla
ᎠᎵᏲ|a2li23yo
ᏗᎵᏲ|di2li23yo
ᏩᏂᎨᎢ|wa.2ni.3ge4?i
ᎩᎶᎢ|kịloɂi
ᎤᎦᎹ|u23ga.3ma
ᎤᏜᏅᏛ|u1dla.2nv2dv23?i
ᎠᏍᏆᏂ|A.2sgwa4ni
ᏗᎦᏘᏍᏗ|di.2ga2ti.3sdi
ᏗᏓᏅᏙ|di2danh2do
ᎤᏁᏨ|u1hne3jv23?i
ᎠᏗᏙᏗ|a.2di2toh3di
ᏌᎶᎵ|sa.2lo23li
ᎠᏂᏙᎾᎥ|a1ni2do32na.2?v23?i
ᏃᏈᏏ|no.2kwsi
ᎤᏂᎩᏍᏔᏅ|u1hni.2gi32sta.2nv23?i
ᎧᏃᎮᎭ|ka.2no2he.3ha
ᎤᏃᏍᎩᏒ|u1no2sgi3sv23?i
ᎤᎴᏫᏍᏔᏅ|u1le2hwi.2sta.2nv3?i
ᏓᏓᎾᏅ|da1da2na.?3nv4i
ᎠᎦᎾᏬᎯᏍᏗ|ạganạwọhịsdi
ᎠᏎᎩ|a.2se4gi
ᎠᏂ|a.?3ni
ᏕᎦᎳᏅᏛ|de2ga.3la.2nv2dv4?i
ᏚᏲᏒ|du1yo.3sv23?i
ᎧᎵᏎᏥ|kal2se23ji
ᎪᎨᏱ|go2ge4yi
ᏭᏕᎵᎬ|wudelịgv
ᎤᎵᏍᏕᎸᎲ|ul1sde2lv2hv23?i
ᏧᏓᏲᎯᏍᏗ|ju2da2yo.3hi.3sdi
ᎠᏓᏬᏍᏗ|a.2da.2wo1sdi4?i
ᎦᏂᏓᏛ|ga.2ni3da.?2dv4i
ᎦᏬᏂᏍᎪ|ga.2wo3ni2sgo3?i
ᎤᎪᏂᏲᏍᏗ|u2go2hni23yo.3sdi
ᏓᏕᏲᎲᏍᎦ|da1de2yo23hv.3sga
ᎦᏅᏗ|ga.2nv2di4?i
ᏕᎦᏅᏙᎬ|de2ganh3doh3gv4?i
ᏚᎵᏃᎮᎸ|duhlịnọhehlv²³ɂi
ᏍᎪᎯ|sgo23hi
ᏍᎪᎯᏁ|sgo2hi2ne4?i
ᏌᎷᏱ|sạluyi
ᎢᏳᏍᏗ|i.2yu4sdi
ᏦᎢᏁ|jo.2?i2ne4?i
ᏧᏣᏲᏍᏗ|ju2ja.2yo4sdi
ᎧᎵᎢ|ka.2li4?i
ᏦᎢ|jo.2?i
ᎤᎵᎮᎵᏨ|u1li2he23li32jv23?i
ᎠᎵᎮᎵᎪᎢ|a1li2he23li32go3?i
ᎠᏴᏤᏂ|a.2hyvh2je4ni
ᏗᏓᎯᎯ|di2da3hi.2hi
ᎧᎾᏌᏛ|ka.2na32sa.?2dv4?i
ᎢᏧᎳ|i23ju3la
ᎦᏅᏙᎬ|ganh2doh3gv4?i
ᎠᏒᏂᎭ|a1sv2hni.3?ha
ᎦᏚᎲ|ga2du3hv4?i
ᎤᏍᏓᏩᏛᏒ|u1sda32wa.2dv3sv23?i
ᎦᏅᏅᎢ|ga.2nv2hnv4?i
ᎤᏕᎵᎢᏍᏗ|udelịɂisdi
ᏌᏛᏗ|sa.2dv3di
ᏡᎬ|hlgv4?i
ᏕᏡᎬ|dehl23gv4?i
ᏧᎾᏓᎴᏅᏓ|ju2na.2da.2le2hnv4da
ᎤᎦᏔᎲᏒ|u1kta.2hv3sv23?i
ᎠᎦᏔᎲᎠ|a1kta.2hv3?a
ᏔᎵ|ta.?3li
ᏗᎦᎪᏗ|di.2ga3koh2di
ᎦᏬᏍᎬ|gạwosgv
ᎠᏍᎦᎾ|a.2sga.2na4?i
ᎧᎾᎷᏍᎬ|ka.2na.2lu2sgv4?i
ᎤᎵᏍᎨᏓ|ul2sge4da
ᏧᏏᏩ|ju23si.2hwa
ᎤᏜᏅᏛᎢ|u1dla.2nv2dv23?i
ᎤᎨᏓᎵᏴ|u1ke23da3li2yv4?i
ᏚᏟᎶᏍᏔᏅ|du1hli2lo3sta.2nv23?i
ᏓᏆᎴᎷ|dagwạlelu
ᎠᏂᎩᎠ|a1hni.2gi.3?a
ᏓᏐᏴ|da1so23hyv4?i
ᏎᏗ|se23di
ᎧᎾᏥᏍᏕᏥ|ka.2na.2ji1sde23ji
ᎠᎹᏱ|a.2ma23yi
ᎠᏗᎠ|a1di.3?a
ᎤᏪᎿᎢ|u.2we23hna.2?i
ᎬᏗ|gvh4di
ᎦᏄᎸ|ga.2nu23lv
ᏑᎾᏙᏓᏆᏍᏗ|sundodạgwạsdi
ᎤᏪᏅᏒ|u1we2nv3sv23?i
ᎤᏠᏱᎸ|u1dlo2hyi.3lv23?i
ᎤᏣᎴᏍᏗ|u2ja.2le4sdi
ᏫᏍᎩ|hwisgi
ᎦᎪ|ga3go2
ᎤᏍᏓᏴᎲᏍᎩ|u2sda1yv.23hv2sgi
ᎤᏛᏅᎢᏍᏗ|u1dv2nv3?i2sdi
ᎠᎦᏔᎯ|a.3kta.2hi
ᏩᏯ|wahya
ᎠᏂᏩᏯ|ạnihwạya
ᎠᏂᎨᏯ|a.2ni2ge23hya
ᎤᏬᏪᎳᏅ|u1wo2hwe23la32nv23?i
ᏑᏕᏘᏴᏓ|su2de2ti.2yv4da
ᎤᏁᎦᏓ|ụnegada
ᎥᎥ|vv
ᏒᎯ|sv2hi
ᏂᎯ|ni.2hi
ᏨᏌ|jv23sa
ᎢᏨᏌ|i1jv23sa
